RunID,TowerID,Wave,TotalDamage,AvgDPS,MaxDPS
949ae6e9,a2bc7a,1,30,3.333087,9.993391
949ae6e9,a2bc7a,2,100,7.82486,19.9918
b038362d,7215fa,1,30,3.332796,9.985461
b038362d,7215fa,2,100,7.828961,19.93357
b038362d,7215fa,3,60,6.286569,19.98918
cec7a6ad,caf516,1,30,3.332784,9.985263
cec7a6ad,caf516,2,100,6.772009,19.96407
cec7a6ad,caf516,3,60,6.73913,9.988637
cec7a6ad,caf516,4,236,10.8786,16.96024
2a722a70,028748,1,30,3.332433,9.990534
2a722a70,028748,2,100,10.22974,29.95868
2a722a70,028748,3,100,11.85452,39.99627
2a722a70,028748,4,270,12.64841,39.95047
f7e29d2c,70b6ab,1,30,3.332454,9.986012
f7e29d2c,70b6ab,2,100,7.840609,19.96333
f7e29d2c,70b6ab,3,60,6.029511,19.90591
f7e29d2c,70b6ab,4,184,8.813952,21.9992
f7e29d2c,70b6ab,5,66,7.138759,21.92594
f7e29d2c,70b6ab,6,252,10.4194,45.96487
8ba3e956,5fba2b,1,30,3.332818,9.998096
8ba3e956,5fba2b,2,100,7.268931,19.92486
8ba3e956,5fba2b,3,60,6.255868,19.99406
8ba3e956,5fba2b,4,220,10.60278,29.94039
8ba3e956,5fba2b,5,100,11.27741,29.92171
4d9b3dfa,5c167d,1,30,3.332096,9.990585
4d9b3dfa,5c167d,2,100,8.510163,9.999958
4d9b3dfa,5c167d,3,100,11.42411,17.97835
4d9b3dfa,5c167d,4,270,14.34953,17.99589
4d9b3dfa,5c167d,5,90,9.402007,17.9953
4d9b3dfa,52b9e8,5,20,2.221462,9.984607
4d9b3dfa,5c167d,6,396,16.53951,35.99034
4d9b3dfa,52b9e8,6,0,0,0
4d9b3dfa,5c167d,7,184,10.82348,35.98055
4d9b3dfa,52b9e8,7,180,10.95487,49.78597
c8140013,9b9b47,1,30,3.332842,9.986719
b5f0b26f,c80a6c,1,30,3.332173,9.978186
b5f0b26f,c80a6c,2,100,7.851372,19.97094
b5f0b26f,c80a6c,3,163,5.638999,24.89758
b5f0b26f,c80a6c,4,221,12.21637,20.92004
b5f0b26f,c80a6c,5,55,6.707291,19.9993
b5f0b26f,c80a6c,6,300,10.58283,27.93826
b5f0b26f,c80a6c,7,217,13.01922,29.96634
b5f0b26f,444f83,7,126,7.410975,17.98229
cfe08a6d,e907a0,1,30,3.332637,9.993681
4219f4cb,ce779c,1,30,3.333001,9.991118
4219f4cb,ce779c,2,100,8.461001,9.998477
4219f4cb,ce779c,3,150,5.031513,9.993406
4219f4cb,ce779c,4,216,9.009945,11.99447
4219f4cb,ce779c,5,84,9.939325,17.99784
627fb892,f76879,1,30,3.332855,9.987194
627fb892,f76879,2,100,10.18715,35.96743
627fb892,f76879,3,200,6.748621,19.99943
627fb892,f76879,4,250,13.78848,24.9932
627fb892,f76879,5,60,18.53442,35.99529
627fb892,c8adaa,5,20,6.663613,9.986268
627fb892,f76879,6,80,3.776324,21.91332
627fb892,c8adaa,6,234,10.81873,17.99358
9788ff6b,f59da0,1,30,3.331726,9.996611
9cd52c22,3fbf20,1,50,5.553028,29.94828
1e78c088,d568b9,1,30,3.333203,9.99635
67eb7505,c7d922,1,30,3.332073,9.998787
67eb7505,c7d922,2,123,12.5576,39.89842
525b7513,eddb41,1,78,8.666341,25.9946
525b7513,1d2097,1,0,0,0
9766c383,cf292e,1,0,0,0
0de3c354,7d578b,1,30,3.331853,9.982975
0de3c354,7d578b,2,46,6.768308,17.97149
0de3c354,7d578b,3,144,7.31815,17.99521
0de3c354,7d578b,4,93,11.62068,35.91038
ecec3ab3,ed277a,1,40,3.99812,9.994595
ecec3ab3,ed277a,2,40,5.136457,9.995482
ecec3ab3,ed277a,3,120,11.3299,29.99041
ecec3ab3,ed277a,4,131,5.836983,12.9717
ecec3ab3,113f6e,4,10,0,0
ecec3ab3,ed277a,5,193,8.342521,35.98238
ecec3ab3,113f6e,5,0,0,9.978024
ecec3ab3,ed277a,6,85,8.571146,12.94663
ecec3ab3,113f6e,6,30,3.165018,9.99321
ecec3ab3,ed277a,7,218,9.568419,35.83582
ecec3ab3,113f6e,7,10,0.4475591,9.986532
95399bf5,567cf1,1,40,3.999477,9.999219
840fb8f7,0f615f,1,40,3.999701,9.995365
840fb8f7,0f615f,2,70,6.474237,19.95606
840fb8f7,0f615f,3,110,9.457206,29.97151
840fb8f7,0f615f,4,113,9.790855,40.91174
840fb8f7,7984ef,4,20,1.666105,9.976485
049b17be,0b1992,1,40,3.999476,9.98692
049b17be,0b1992,2,136,12.61258,35.9604
049b17be,0b1992,3,180,15.53744,53.83084
049b17be,0b1992,4,144,13.84984,35.89833
049b17be,0b1992,5,234,16.46131,53.76857
049b17be,58c20b,5,10,0.6666246,9.99104
049b17be,0b1992,6,270,14.19041,17.99678
049b17be,58c20b,6,0,0,0
049b17be,0b1992,7,126,12.24651,17.98427
049b17be,58c20b,7,0,0,0
049b17be,c9ffbc,7,80,7.997655,9.99572
82a993ca,cecddf,1,40,3.99838,9.982697
82a993ca,cecddf,2,70,5.960584,9.992735
82a993ca,cecddf,3,110,8.691551,19.99997
82a993ca,cecddf,4,40,3.824427,19.96448
82a993ca,bece12,4,70,6.999228,9.988942
82a993ca,cecddf,5,90,5.126653,19.96541
82a993ca,bece12,5,100,5.848639,9.999852
82a993ca,cecddf,6,81,6.96138,20.97581
82a993ca,bece12,6,80,7.157155,9.997829
82a993ca,cecddf,7,60,5.104736,19.97632
82a993ca,bece12,7,100,8.849669,9.993902
